text,label
నీ లాంటి వాళ్లను దేశం నుండి తరిమేయాలి,hate
నీ కులం వాళ్లు అందరూ దొంగలు,hate
"వీళ్ళు మనుషులు కాదు, జంతువులు",hate
వీళ్ళందరినీ చంపేయాలి,hate
నీ మతం వాళ్ళు అందరూ ఉగ్రవాదులు,hate
వీళ్ళు సమాజానికి పురుగులు,hate
నీ లాంటి మురికి వాళ్ళకి ఇక్కడ చోటు లేదు,hate
వీళ్ళను తగలబెట్టాలి,hate
నీ కులం నీచం,hate
ముస్లింలు అందరూ దేశద్రోహులు,hate
దళితులకు ఎటువంటి హక్కులు ఉండకూడదు,hate
ఈ బిహారీలు మన నగరాన్ని మురికి చేస్తున్నారు,hate
ఆడవాళ్ళకు బుద్ధి ఉండదు,hate
ఈ భిక్షగాళ్ళు చచ్చిపోతే బాగుండు,hate
నీ లాంటి నల్లవాళ్ళు అసహ్యం,hate
వీళ్ళు మురుగు కాలువ పురుగులు,hate
వీళ్ళ రక్తం చిందించాలి,hate
మీ సమాజం సమాజానికి క్యాన్సర్,hate
విదేశీయులను ఇక్కడ నుండి తరమండి,hate
"స్వలింగ సంపర్కులు పిచ్చివాళ్ళు, రోగులు",hate
నీ జాతి వాళ్ళు ఏ పనికీ రారు,hate
వీళ్ళందరినీ నాశనం చేయాలి,hate
నీ మతం వల్లే దేశం పాడవుతోంది,hate
ఈ వలస వాళ్ళు మన ఉద్యోగాలు దొంగిలిస్తున్నారు,hate
మీ సంస్కృతి అనాగరికం,hate
nee lanti vallanu desham nundi tarimeyali,hate
nee kulam vallu andaru dongalu,hate
"veellu manushulu kaadu, janthuvulu",hate
veellandarini champeyaali,hate
nee matham vallu andaru ugravadulu,hate
veellu samajaaniki purugulu,hate
nee lanti muriki vallaki ikkada chotu ledu,hate
veellanu tagalabettaali,hate
nee kulam neecham,hate
muslims andaru deshadrohulu,hate
dalitulaku etuvanti hakkulu undakoodadu,hate
ee bihari vallu mana city ni muriki chestunnaru,hate
aadavallaku buddhi undadu,hate
ee bhiksagallu chachchipothe bagundu,hate
nee lanti nallavallu asahyam,hate
"nuvvu pichi vadivi, neeku brathakataniki arham ledu",hate
nee jaathi vallu em paniki raaru,hate
veellandarini naasanam cheyaali,hate
nee matham valle desham paadavutundi,hate
ee valasa vallu mana jobs dongilistunnaru,hate
నువ్వు పెద్ద బుద్ధిలేని వాడివి,offensive
ఏం చెత్త మాట్లాడుతున్నావ్,offensive
నోరు మూసుకో గాడిదా,offensive
నీ మొహం చూస్తే నవ్వు వస్తుంది,offensive
ఎంత దిగజారిన మనిషివి నువ్వు,offensive
నువ్వు ఒకటంబర్ వేషగాడివి,offensive
పిచ్చా నీకు పూర్తిగా,offensive
నీ కంటే చెత్త ఇంకెవరు లేరు,offensive
ఈ పాట విని చెవులు పగిలాయి,offensive
ఈ భోజనం తిని చచ్చిపోతాను,offensive
బాస్ ఈ రోజు బుర్ర తినేశాడు,offensive
ట్రాఫిక్ వల్ల తల పగిలిపోతోంది,offensive
ఈ కంపెనీలో పని చేయడం హింస,offensive
ఏం తెలివి తక్కువ సిస్టం ఇది,offensive
వాడికి ఏమీ రాదు పనిలో,offensive
nuvvu pedda buddhileni vadivi,offensive
em chetta maatladutunnav,offensive
noru moosukov gadidha,offensive
nee moham choosteh navvu vasthundi,offensive
entha digajarina manishivi nuvvu,offensive
nuvvu okatambar veshagadivi,offensive
picchaa neeku poorthiga,offensive
nee kante chetta inkevaru leru,offensive
ee paata vini chevulu pagilaayi,offensive
ee bhojanam tini chachchipotha,offensive
boss ee roju burra tineshaadu,offensive
traffic valla tala pagilipotondi,offensive
ee company lo pani cheyadam himsa,offensive
em telivi takkuva system idi,offensive
vadiki emi raadu panilo,offensive
ఈ రోజు చాలా మంచి రోజు,neutral
కుటుంబంతో సమయం గడపడం బాగుంటుంది,neutral
అందరికీ ప్రేమ మరియు గౌరవం ఇవ్వండి,neutral
జీవితం చాలా అందమైనది,neutral
విద్య అందరి హక్కు,neutral
కలిసి పని చేస్తే అన్నీ సాధ్యమే,neutral
ఈ రోజు వంట చాలా రుచిగా అయింది,neutral
రేపు వాతావరణం బాగుంటుంది,neutral
కొత్త పుస్తకం చదివి చాలా బాగుంది,neutral
అందరికీ సమాన అవకాశాలు రావాలి,neutral
ఈ రోజు సూర్యాస్తమయం అద్భుతంగా ఉంది,neutral
తోటలో కొత్త పువ్వులు పూశాయి,neutral
క్రికెట్ మ్యాచ్ చాలా ఉత్కంఠభరితంగా ఉంది,neutral
పాటలు వింటే మనసు ప్రశాంతంగా ఉంటుంది,neutral
టీ తాగుతూ వర్షం చూడటం బాగుంటుంది,neutral
ee roju chala manchi roju,neutral
kutumbamtho samayam gadapadam baguntundi,neutral
andariki prema mariyu gauravam ivvandi,neutral
jeevitham chala andamainadi,neutral
vidya andari hakku,neutral
kalisi pani chesthe anni saadhyame,neutral
ee roju vanta chala ruchiga ayindi,neutral
repu vaataavaranam baguntundi,neutral
kotha pustakam chadivi chala bagundi,neutral
andariki samaana avakashalu ravaali,neutral
ee movie chuste chala inspire avtham,neutral
morning walk ki velte health ga untundi,neutral
coding nerchukovadam chala fascinating,neutral
team ee roju chala baaga perform chesindi,neutral
"festival shopping ayindi, chala enjoy chesam",neutral
nee lanti waste fellows ni fire cheyali,hate
you are a disgrace to Telugu culture,hate
mee caste vallu eppudu backward untaru,hate
"ee movie flop ayindi, director ki sense ledu",offensive
"nee coding skills zero ra, learn something",offensive
"what a boring lecture, professor ki teaching raadu",offensive
ee new restaurant food amazing undi,neutral
"coding in Python nerchukuntunnanu, very interesting",neutral
weekend lo family tho outing plan,neutral
"exam lo kill chestha, full preparation done",neutral
"adi great performance, stage meeda rock chesadu",neutral
nee presentation lo data chala impressive undi,neutral
this weather is killing my mood but still good day,offensive
nee lanti ugly people ki confidence ekkada nundi vastadi,hate
nee community ni ekkadiki aina pampinchali,hate
